Name,Address,Location,Contact_number,Open_days,Open_hours,Rush_hours,Rush_days,Common_Services,Charging_ports,Wheelchair_Access,Hair_steamer,Hair_Dryer,Neck_Duster,Razor,Towels,Scissors,Comb,Curling_iron,Flat_iron,Clippers,Powder_brush,Beard_Liner_Tool,Tool_rack,Glass_windows,Air_condition,Charging_ports,WiFi_Availability,Cleanliness,Seat_count,Seat_brand,Seat_color,Seat_material,Adjustable,Footrest,Headrest,Mirror_type,Mirror_shape,Mirror_size,TV_Brand,TV_count,Waiting_seat_Count,Waiting_seat_type,Gender_Type,Trash_Bins,Air_Freshener,Hand_Dryer,Parking_Capacity,Parking_type,Parking_covered,Payment_methods,Min_price,Max_price,Avarage_bill,Discount_policy,Ongoing_offers,complimentary_items,Service_access_type,appointment_method,Appointment_reminders
Leena Hari salon,"180 Park Road, Colombo-05", Colombo-05,762234776,All week,9.00 a.m to 7.30 p.m ,12.00 p.m - 6.00 p.m,"Saturday, Sunday, Monday","hair cut, waxing, massage",yes,yes,1,5,6,5,6,5,4,1,3,10,3,6,5,no,yes,no,yes,3.9,4,singer,Black,vinly,yes,yes,yes,Wall mounted,square,5ft *5ft,Dialog,1,5,chair,men,yes,no,no,3,outdoor,yes,"Cash, Bank transfer, koko",500,1000,850 - 1500,yes,yes,no,Both appointment and walk-in,"Phone call, Through the website",yes
Onella salon ,"3, 724 Mattakkuliya Farm Rd, Colombo","Mattakuliya, colombo - 15",773767422,All week,8.00a.m to 9.00 p.m,5.00 p.m - 7.00 p.m,"Saturday, Sunday","hair cut, shaving, hair coloring",yes,yes,1,3,4,4,10,4,4,1,3,8,5,3,4,no,no,no,no,3.6,4,singer,Black,vinly,yes,yes,yes,Wall mounted,square,4ft * 4ft,LG,1,2,sofa,Both,yes,yes,yes,5,outdoor,yes,"Cash, Bank transfer",800,1000,900 - 1200,no,yes,no,Both appointment and walk-in,"Phone call, SMS/WhatsApp",yes
Pretty Looks- Salon Ayesha,"141B Vystwyke Rd, Colombo 15","Mattakuliya, colomb0 -15",777353534,week days,9.00 a.m to 7.30 p.m ,4.00p.m to 6.00 p.m,"Monday, Friday","facial treatment, waxing, nail polishing",yes,no,3,5,3,4,15,5,6,4,5,25,4,5,4,no,yes,no,no,4,5,modern,Black,leather,yes,yes,yes,wall mounted,Rectangle,5ft * 3ft,LG,1,1,sofa,ladies,yes,yes,yes,3,outdoor,no,"Cash, Bank transfer, card",1000,1600,1500 - 2000,no,no,yes,Appointment only,"Phone call, SMS/WhatsApp",yes
Hair Studio,"258/1 Dean's Road, Colombo 01000","Maradana, Colombo-10",779076676,All week,8.00a.m to 10.00 p.m,4.00 p.m to 6.00 p.m,Saturday,"hair cut, hair treatment, massage",yes,yes,2,4,3,5,10,3,5,3,3,20,5,4,5,no,yes,yes,no,4.7,4,singer,ash,leather,yes,yes,yes,Wall mounted,square,6ft* 6ft,Dialog,2,3,sofa,ladies,yes,yes,yes,6,outdoor,no,"Cash, Bank transfer",750,1100,1000 - 1500,yes,yes,no,Both appointment and walk-in,"Phone call, SMS/WhatsApp",yes
Salon Gowri,"508 Maradana Rd, Colombo 10","Maradana,Colomb0-10",117220005,week days,9.00 a.m to 10.00 p.m,4.00 p.m to 7.00 p.m,Friday,"facial treatment, waxing, nail polishing",yes,yes,1,3,4,4,12,5,5,3,3,12,4,4,5,yes,yes,no,no,3.5,3,Damro,Black,leather,yes,yes,yes,Wall mounted,Rectangle,5ft * 4ft,LG,1,3,bench,ladies,yes,yes,yes,6,outdoor,no,"Cash, Card, Bank transfer",1000,1450,1300 - 1800,no,no,no,Both appointment and walk-in,"Phone call, SMS",yes
Oriental saloon,"104 Bankshall St, Colombo 011",Pettah,112439413,week days,10.00 a.m to 10.00 p.m,4.00 p.m to 7.00 p.m,"Monday,tuseday","hair cut, hair coloring, hair treatment",yes,yes,1,2,5,5,8,6,4,2,2,10,5,4,6,yes,no,yes,no,4.1,5,modern,Black,leather,yes,yes,yes,Wall mounted,square,5ft * 5ft,LG,1,2,bench,men,yes,no,no,7,outdoor,no,"Cash, Card, Bank transfer",450,800,600 - 1000,no,no,no,Both appointment and walk-in,Phone call,no
AK unisex Salon,"78 Meeraniya St, Colombo 012","Hulftsdorp, Colombo-12",743131927,All week,9.00 a.m to 7.30 p.m ,4.00p.m to 6.00 p.m,Saturday,"hair cut, hair coloring, hair treatment",yes,no ,3,4,3,5,10,5,4,1,2,15,4,4,5,no,yes,yes,yes,4,5,modern,white,leather,yes,no,yes,Wall mounted,square,5ft * 5ft,Dialog,1,5,chair,Both,yes,yes,yes,5,outdoor,no,"Cash, Bank transfer",500,850,800 - 1000,no,no,no,Both appointment and walk-in,Phone call,no
"Meitro Hair & 	Beauty salo ","57 Bonjeen Rd, Colombo 013","Kotahena, Colombo-13",112335517,All week,9.00 a.m to 10.00 p.m,4.00 p.m to 7.00 p.m,"Saturday, Sunday, Monday","hair cut,hair coloring, waxing",yes,no,2,4,6,4,10,4,6,1,3,10,6,6,5,no,yes,yes,yes,4.2,6,modern,Black,leather,yes,yes,yes,Wall mounted,Rectangle,6ft * 4ft,samsung,1,4,chair,ladies,yes,yes,yes,4,outdoor,no,Cash,600,800,800 - 1200,no,yes,no,Both appointment and walk-in,Phone call,no
Salon Shaila,"No 61 Kotahena St, Colombo 013","Kotahena, Colombo-13",771100803,All week,9.00 a.m to 11.00 p.m,4.00 p.m to 6.00 p.m,"Saturday, Sunday","hair cut, shaving, hair coloring",yes,yes,2,3,5,3,15,5,3,2,4,10,4,5,3,no,yes,yes,yes,3,5,modern,Black,leather,yes,no,yes,Wall mounted,Rectangle,5ft *3ft,LG,1,6,chair,ladies,yes,yes,yes,5,outdoor,no,"Cash, Bank transfer",550,1200,1000 - 1500,no,no,yes,Both appointment and walk-in,Phone call,no
salon nilu,"441, alvitiala mawatha, narahenpita colombo 05",narahenpita,779833308,All week,7.30a.m to 11.50 p.m,12.00 p.m - 6.00 p.m,"Saturday, Sunday","hair cut, waxing, massage",yes,no,3,2,4,5,15,5,5,4,3,30,5,3,4,no,yes,yes,yes,4.8,8,modern,ash,leather,yes,yes,yes,Wall mounted,oval, - ,samsung,1,3,sofa,ladies,yes,yes,yes,20,indoor,yes,"Cash, Bank transfer, koko",1000,1800,2000 - 2500,yes,yes,yes,Appointment only,"Phone call, SMS/WhatsApp",yes
